#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
5dollah.click,suspend,false,false,"Spam, Online Harassment, Queerphobia, Hate Speech",false
aethy.com,suspend,false,false,"CSAM, Explicit Content",false
annihilation.social,suspend,false,false,"Online Harassment, Hate Speech",false
arell.ai,suspend,false,false,"Spam, Farming",false
asbestos.cafe,suspend,false,false,"CSAM, Queerphobia, Hate Speech",false
bae.st,suspend,false,false,"Online Harassment, Queerphobia, Explicit Content, Hate Speech",false
baise-moi.top,suspend,false,false,"CSAM, Explicit Content",false
baraag.net,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
beefyboys.win,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
blob.cat,suspend,false,false,"Online Harassment, Explicit Content",false
boymoder.biz,suspend,false,false,"CSAM, Online Harassment, Queerphobia, Hate Speech",false
breastmilk.club,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
brighteon.social,suspend,false,false,"Disinformation, Hate Speech",false
bungle.online,suspend,false,false,Hate Speech,false
burggit.moe,suspend,false,false,"DNI, Explicit Content",false
cachapa.xyz,suspend,false,false,Hate Speech,false
cawfee.club,suspend,false,false,Hate Speech,false
clew.live,suspend,false,false,"Queerphobia, Hate Speech",false
clew.lol,suspend,false,false,Hate Speech,false
clubcyberia.co,suspend,false,false,"Online Harassment, Hate Speech",false
contrapointsfan.club,suspend,false,false,Hate Speech,false
cottoncandy.cafe,suspend,false,false,"CSAM, Explicit Content",false
cryptodon.lol,suspend,false,false,,false
cum.camp,suspend,false,false,"Online Harassment, Explicit Content",false
cum.estate,suspend,false,false,"Online Harassment, Hate Speech",false
cum.salon,suspend,false,false,"Explicit Content, Hate Speech",false
cunny.beauty,suspend,false,false,"CSAM, Explicit Content",false
cunnyborea.space,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
cunnyborea.top,suspend,false,false,"Spam, CSAM, Explicit Content, Hate Speech",false
cutefunny.net,suspend,false,false,"Spam, CSAM, Explicit Content, Hate Speech",false
cutiepaws.org,suspend,false,false,"CSAM, Explicit Content",false
decayable.ink,suspend,false,false,Hate Speech,false
detroitriotcity.com,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
edens.faith,suspend,false,false,"CSAM, Explicit Content",false
eientei.org,suspend,false,false,Hate Speech,false
eveningzoo.club,suspend,false,false,"Disinformation, Hate Speech",false
federated.fun,suspend,false,false,"Queerphobia, Hate Speech",false
fightthis.net,suspend,false,false,Hate Speech,false
fluf.club,suspend,false,false,Hate Speech,false
freeatlantis.com,suspend,false,false,"Misinformation, Disinformation, Hate Speech",false
freesoftwareextremist.com,suspend,false,false,Hate Speech,false
freespeechextremist.com,suspend,false,false,Hate Speech,false
frennet.xyz,suspend,false,false,Hate Speech,false
freysa.ai,suspend,false,false,"Spam, Farming",false
fsebugoutzone.org,suspend,false,false,Hate Speech,false
gameliberty.club,suspend,false,false,"Farming, Explicit Content, Hate Speech",false
gearlandia.haus,suspend,false,false,"Queerphobia, Hate Speech",false
genderheretics.xyz,suspend,false,false,"Queerphobia, Hate Speech",false
geofront.rocks,suspend,false,false,Hate Speech,false
ghetti.monster,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
gimmeloli.cc,suspend,false,false,"CSAM, Explicit Content",false
hf.space,suspend,false,false,"Spam, Farming",false
hidamari.apartments,suspend,false,false,Hate Speech,false
husk.site,suspend,false,false,"Online Harassment, Hate Speech",false
iddqd.social,suspend,false,false,"Service Abuse, Online Harassment, Hate Speech",false
ignorelist.com,suspend,false,false,"Spam, Service Abuse",false
intkos.link,suspend,false,false,Hate Speech,false
kawa-kun.com,suspend,false,false,Hate Speech,false
kitsunemimi.club,suspend,false,false,Hate Speech,false
kiwifarms.cc,suspend,false,false,"Online Harassment, Queerphobia, Hate Speech",false
kompost.cz,suspend,false,false,Hate Speech,false
kurosawa.moe,suspend,false,false,"CSAM, Online Harassment, Hate Speech",false
lain.la,suspend,false,false,Hate Speech,false
leafposter.club,suspend,false,false,Hate Speech,false
lewdieheaven.com,suspend,false,false,"CSAM, Explicit Content",false
ligma.pro,suspend,false,false,,false
loli.church,suspend,false,false,"CSAM, Explicit Content, Hate Speech",false
lolicon.rocks,suspend,false,false,"CSAM, Hate Speech",false
lolison.network,suspend,false,false,"CSAM, Explicit Content",false
lolison.top,suspend,false,false,"CSAM, Explicit Content",false
lovingexpressions.net,suspend,false,false,Hate Speech,false
mapsupport.de,suspend,false,false,"CSAM, Online Harassment, Explicit Content",false
mastinator.com,suspend,false,false,"Spam, Farming, Online Harassment",false
merovingian.club,suspend,false,false,"Queerphobia, Hate Speech",false
midwaytrades.com,suspend,false,false,"Queerphobia, Hate Speech",false
